"tweet_id","tweet_user_id","reply_user_id"
"1126292198889328641","1029132122899066885","924829078447943680"
"1126301874330710016","1123748178346631168","425871040"
"1126307906004160512","888457349631025152","425871040"
"1126311699458318337","1106259461067411456","995979576"
"1126311724879990784","1106259461067411456","995979576"
"1126312213000720384","455191355","234526497"
"1126318513235333122","4329662908","1521353310"
"1126322691902849024","973820082622291968","958264156683091969"
"1126358668453253120","715642952681439232","425871040"
"1126409780153782272","3450118157","1074808277890871296"
"1126409786080108544","973820082622291968","958264156683091969"
"1126416163473223680","1518635760","958264156683091969"
"1126422580859027456","1095612730742960128","425871040"
"1126424128909713408","1109070715637153795","425871040"
"1126425869378039809","1126391723712831488","1091728808242233346"
"1126426094154940417","1126391723712831488","1020338267517079558"
"1126426261671297024","1126391723712831488","909147786226098176"
"1126426442127036421","1126391723712831488","738067872904294400"
"1126426555763298304","1126391723712831488","1035570398581219329"
"1126427393747509248","1126391723712831488","1118170187524706304"
"1126427485296631808","1126391723712831488","1024400415297814529"
"1126448385068638208","1016174710227255297","425871040"
"1126486322003230720","466682857","1049760078717423621"
"1126486812589993985","2778275425","425871040"
"1126335011370594304","816351798","924829078447943680"
"1126522997211303936","3405074997","1012020188194197504"
"1126338047262502912","216471541","924829078447943680"
"1126543988637478917","977178790370660353","848596577929359360"
"1126338987260612609","2181338433","1104475494697840641"
"1126577380955389953","1107612774899871746","1030197444515115008"
"1126599375558410240","1116667641371025408","1010223474554654720"
"1126638028183748610","3179937644","425871040"
"1126638594557399040","1183679630","425871040"
"1126643157209317376","1074765181622861825","27280073"
"1126685955354546176","973820082622291968","958264156683091969"
"1126700091408936960","3060752473","1123054492461694976"
"1126749832234668032","3450118157","1123950602478870528"
"1126858970021466113","1049942496774639616","1011570977816432640"
"1126858993274687488","1049942496774639616","1011570977816432640"
"1126353893057863680","749184298406871040","1113445998087557122"
"1126354998907031552","980731396338606080","121258930"
"1126357603825659904","3404632251","989983009339269120"
"1126979459163336704","1054083450691600385","27280073"
"1126534820060979201","168371832","425871040"
"1126363337925771264","908322391863984128","1122272110586540032"
"1126364697933041664","2981504279","375815518"
"1126379678212734977","897350097914261504","425871040"
"1126391853803114497","964721109550579713","425871040"
"1126395481779769344","823301814984601602","425871040"
"1126402806708146176","2869484948","425871040"
"1126403085704757248","982253596703014915","1049367321201074177"
"1126403774736551937","847416119753191425","2476907326"
"1126404958197301248","711095418524803073","425871040"
"1126407358744354818","1119935498888331264","98821255"
"1126409335901433856","722110027599843328","425871040"
