"tweet_id","tweet_user_id","reply_user_id"
"1126293898073034752","815047180427751425","815047180427751425"
"1126330062654136320","1126233011090022400","1097019220464873472"
"1126333520211628034","2919115501","2919115501"
"1126350568967028736","3826655967","3826655967"
"1126356492238516225","963600908427776000","963600908427776000"
"1126359817029742592","1123915250082942977","1123915250082942977"
"1126381867270172672","877201023588106242","1048018930785083392"
"1126393749624500224","742192336785027072","2227954073"
"1126393945137664001","1688283258","1688283258"
"1126413879792132098","3006545840","18899974"
"1126428087493611520","2170488504","2170488504"
"1126428350065664006","1036636331521306624","1027703653329784832"
"1126324858072248320","41753454","1092469601827459074"
"1126325983139762177","1108910929767526403","1124044453377916931"
"1126333034251206656","1090454150901465088","1090454150901465088"
"1126333351088906241","2919115501","2919115501"
"1126339004314423296","844161371696640001","844161371696640001"
"1126342783441129472","2183520866","2183520866"
"1126375473880207361","815987719105028096","841793306426265600"
"1126379611326074881","3006545840","18899974"
"1126409363298619392","1113456354222661633","453689865"
"1126411728667856896","882995139135758336","1072433332288278529"
"1126412166213525505","127891947","127891947"
"1126414846772359168","775099074068508672","713388915630161920"
"1126414850140381185","216892137","1048018930785083392"
"1126424105996001280","2734063365","2605611910"
"1126427208288018433","1126422380115574784","1126422380115574784"
"1126430169391161344","1013732803182284801","1378000488"
"1126434330723491840","2734063365","2605611910"
"1126440602348838912","1091330385286328320","1948208700"
"1126485688088576001","985157654224908288","985157654224908288"
"1126297667917586432","1019441568942444544","1019441568942444544"
"1126447848990461954","1238117666","1238117666"
"1126997292849016834","1086997426689445888","1048018930785083392"
"1126866527578406913","1099107738519568384","1048018930785083392"
"1126488718250954755","1126488039193137153","1117931702"
"1126460251228778496","995541560501686272","207936757"
"1126503810392702976","1103457241825308672","18899974"
"1126491442707222528","1108787646103339008","1048018930785083392"
"1126517494510903296","1091245841321345024","1091245841321345024"
"1126515050716418051","3183808680","18899974"
"1126536407395241984","2955680987","26599573"
"1126524525800124416","823261373555621889","823261373555621889"
"1126529788288671745","1125222675016769536","1125222675016769536"
"1126542291768946688","4715572333","254389284"
"1126537883752501252","364435359","593244041"
"1126559839575007233","514200236","26599573"
"1126547367530942464","846671944686624768","26599573"
"1126549017595265024","799260960019988481","18899974"
"1126556394302271489","2639210240","2648904824"
"1126574368329351168","879262217266372608","879262217266372608"
"1126573105642557440","2636120039","2636120039"
"1126591408868139009","57553546","1048018930785083392"
"1126581193141624833","1064074765","3105333298"
"1126586950511730688","1059669322136727554","1059669322136727554"
"1126632398995718145","1044450169985609728","1048018930785083392"
"1126737300300288000","1112077568495087616","1112077568495087616"
"1126676019128070145","2289144140","707921493"
"1126715443723419648","833738488688308224","926527641708048386"
