"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 07:55:23","573388524","1188","United States","Holualoa","[[[-155.987927, 19.59724], [-155.987927, 19.634302], [-155.943821, 19.634302], [-155.943821, 19.59724]]]","city","RIP PUMP/:",NULL,"Fortnite"
"2019-05-10 06:47:54","168957047","98","United States","Interbay","[[[-122.393895, 47.619385], [-122.393895, 47.66341], [-122.361292, 47.66341], [-122.361292, 47.619385]]]","neighborhood","Oh hell yeah",NULL,"overwatch"
"2019-05-09 07:59:34","748009466","373","España","El Puerto de Santa María","[[[-6.323065, 36.525759], [-6.323065, 36.718707], [-6.140668, 36.718707], [-6.140668, 36.525759]]]","city","por qué",NULL,"Fortnite"
"2019-05-09 08:32:35","750933299258851328","60","United States","Normal","[[[-89.061798, 40.487838], [-89.061798, 40.561712], [-88.921261, 40.561712], [-88.921261, 40.487838]]]","city","This is a pretty good trailer",NULL,"Fortnite"
"2019-05-09 08:39:31","1228107739","259","United States","Irving","[[[-97.034184, 32.771786], [-97.034184, 32.956048], [-96.888782, 32.956048], [-96.888782, 32.771786]]]","city","https://t.co/u4nUlk3O19",NULL,"Fortnite"
"2019-05-10 07:38:21","833893860585644033","168","México","Gustavo A. Madero","[[[-99.180678, 19.444937], [-99.180678, 19.592375], [-99.051103, 19.592375], [-99.051103, 19.444937]]]","city","Love it 😍",NULL,"overwatch"
"2019-05-09 08:41:23","948271475043082240","96","Japan","Numazu-shi","[[[138.752701, 34.93895], [138.752701, 35.219331], [138.924271, 35.219331], [138.924271, 34.93895]]]","city","おじいはタイムスリップなんか！！",NULL,"Fortnite"
"2019-05-10 10:24:46","1056200003083886592","40","Japan","Toride-shi","[[[139.997375, 35.870752], [139.997375, 35.953794], [140.154273, 35.953794], [140.154273, 35.870752]]]","city","まぁ当たれば良いかなーって感じです",NULL,"Fortnite"
"2019-05-09 09:07:07","2609513260","2057","Brasil","Rio das Ostras","[[[-42.0649, -22.563317], [-42.0649, -22.3774], [-41.817758, -22.3774], [-41.817758, -22.563317]]]","city","q passe merda",NULL,"Fortnite"
"2019-05-09 10:01:58","1006980570","10140","France","Montpellier","[[[3.807055, 43.567351], [3.807055, 43.653441], [3.94148, 43.653441], [3.94148, 43.567351]]]","city","#Fortnite

La Saison 9 est sortie! 🤩

N’hésitez pas à soutenir la structure en entrant le Code: BEGENIUS dans la bo… https://t.co/I53DWJ6PP8","['Fortnite']","Fortnite"
"2019-05-09 12:08:35","724625410751913984","136","France","Grenoble","[[[5.677921, 45.15391], [5.677921, 45.214019], [5.753434, 45.214019], [5.753434, 45.15391]]]","city","La team de #streamer de @LaCasemate, accompagnée de @ArthyeL, partage les retours de cette incroyable expérience su… https://t.co/8oeDf24Wwk","['streamer']","Fortnite"
"2019-05-10 14:26:49","722847162854289408","381","People's Republic of China","Guangdong","[[[109.664659, 20.221264], [109.664659, 25.518608], [117.17479, 25.518608], [117.17479, 20.221264]]]","admin","Don’t forget to use Creator Code: CROWN",NULL,"Fortnite"
"2019-05-09 12:22:03","2962073117","93","España","San Cristóbal de la Laguna","[[[-16.409811, 28.438233], [-16.409811, 28.579588], [-16.26576, 28.579588], [-16.26576, 28.438233]]]","city","@OrangeIkari",NULL,"overwatch"
