"tweet_id","tweet_user_id","quoted_user_id"
"1126297601664589825","196494138","1044942806048022528"
"1126411150004977665","940299429109731328","924829078447943680"
"1126307053247528961","1013124933147398144","1124123800801431553"
"1126338688512708609","1119839112242974720","869909325023559680"
"1126342447657889792","1013148858845626368","1027840295541649408"
"1126342807621234688","2841383502","998614961097068544"
"1126343782511726592","1110204816288972801","869909325023559680"
"1126353499560738816","749184298406871040","730547030863437824"
"1126357324594069509","1101661015152852996","809098662471147520"
"1126358668453253120","715642952681439232","544862804"
"1126360633375641601","1100761795126575104","425871040"
"1126375258414637056","1102810115655249920","959707655383212032"
"1126378991680548864","4487846065","2828089713"
"1126382950637920256","1121339691083554816","2973739059"
"1126393345922748416","3872642075","984307189853704192"
"1126393829764898816","756256728778321920","979537569242169344"
"1126396224603598848","312846840","544862804"
"1126396303699861504","2361950846","946598394054742017"
"1126397107332452354","2422233391","924829078447943680"
"1126397218502479873","756256728778321920","1028440418814513153"
"1126397343199186946","1121500026977439745","958264156683091969"
"1126397371431227393","966039418980225024","425871040"
"1126397460559962113","756256728778321920","1028440418814513153"
"1126397541455556608","756256728778321920","979537569242169344"
"1126398194894589953","756256728778321920","995504392638943233"
"1126398617290330112","756256728778321920","1028440418814513153"
"1126398845712240640","2226136789","425871040"
"1126399067137794048","756256728778321920","979537569242169344"
"1126399315604398082","20598427","425871040"
"1126401699894054912","756256728778321920","963028327752785922"
"1126402486628233216","2742277967","2569932542"
"1126402855924056064","3769076902","1086288084533161990"
"1126402856083435521","2742277967","835547548131684353"
"1126405967376076800","756256728778321920","1028440418814513153"
"1126406033616715776","1018142053492928513","725916574851297284"
"1126406184691331072","1018142053492928513","725916574851297284"
"1126406507602501632","756256728778321920","1028440418814513153"
"1126406560115232768","1101410438758260736","425871040"
"1126406986499641344","1018142053492928513","725916574851297284"
"1126408006277578752","1046940001945104384","958264156683091969"
"1126408402203238400","1116074322941153283","924829078447943680"
"1126408520885309441","359977465","1032390010165575682"
"1126409474913329152","190124785","43487865"
"1126409780153782272","3450118157","1074808277890871296"
"1126432199392333825","3010751612","375721095"
"1126414611329179648","757572600922943488","958264156683091969"
"1126298636936196096","830582444856373249","894995979350487040"
"1126415142768525312","471437343","155857134"
"1126416141461491712","1070974687629340672","425871040"
"1126421059253751808","1851033906","425871040"
"1126423008493617152","1100761795126575104","1049367321201074177"
"1126423080358703106","1124230188160565249","958264156683091969"
"1126423154937569280","2225810322","958264156683091969"
"1126425165129117696","1104018475431804930","1048186161657569280"
"1126426603691622401","318760490","234526497"
"1126427167196426240","4684729332","919695348397899776"
"1126430049845039104","745281338765418496","835547548131684353"
"1126430398966145024","992332329958830080","958264156683091969"
"1126430958872408065","2426918953","44645815"
"1126432759478661120","1005392885343244289","865995580845195264"
"1126435680685395968","925358999846793216","958264156683091969"
